coordenada_id,departamento,departamento_iso,metodo_seleccion,crs_generacion,separacion_grilla_m,easting_m,northing_m,fuente_limite,latitud,longitud
URY_FS_G_E525000_N6300000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,525000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.439103,-56.73104
URY_FS_G_E550000_N6250000,Flores,UY-FS,regular_grid_25km,EPSG:32721,25000,550000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.889179,-56.459273
URY_LA_G_E650000_N6175000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,650000.0,6175000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.55581,-55.36506
URY_LA_G_E650000_N6200000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,650000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.330445,-55.369446
URY_LA_G_E650000_N6225000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,650000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.105072,-55.373783
URY_LA_G_E675000_N6200000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,675000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.326526,-55.097809
URY_LA_G_E675000_N6225000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,675000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.101185,-55.102868
URY_LA_G_E675000_N6250000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,675000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.875836,-55.107871
URY_LA_G_E675000_N6275000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,675000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.650477,-55.112818
URY_LA_G_E700000_N6200000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,700000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.322005,-54.826229
URY_LA_G_E700000_N6225000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,700000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.096702,-54.832009
URY_LA_G_E700000_N6250000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,700000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.87139,-54.837725
URY_LA_G_E700000_N6275000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,700000.0,6275000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.646069,-54.843377
URY_LA_G_E700000_N6300000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,700000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.420738,-54.848967
URY_LA_G_E725000_N6250000,Lavalleja,UY-LA,regular_grid_25km,EPSG:32721,25000,725000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.866353,-54.567642
