departamento,departamento_iso,fecha_inicio_semana,fecha_fin_semana,anio,numero_semana,n_dias_esperados,n_dias_observados,cobertura_temporal_pct,cobertura_espacial_min_pct,precipitation_days_weekly,temperature_2m_max_mean_weekly,temperature_2m_max_weekly,temperature_2m_min_mean_weekly,temperature_2m_min_weekly,relative_humidity_2m_min_mean_weekly,relative_humidity_2m_min_weekly,relative_humidity_2m_max_mean_weekly,relative_humidity_2m_max_weekly,wind_speed_10m_max_mean_weekly,wind_speed_10m_max_weekly,precipitation_sum_weekly,precipitation_max_daily_weekly,et0_fao_evapotranspiration_sum_weekly,et0_fao_evapotranspiration_max_daily_weekly,wind_direction_10m_resultant_length_spatial_daily_mean_weekly,wind_direction_10m_dominant_circular_mean_weekly,wind_direction_10m_resultant_length_weekly
Flores,UY-FS,2017-07-31,2017-08-06,2017,31,7,7,100.0,100.0,2,16.04285714285714,21.4,8.217142857142857,3.1,69.62857142857142,56,96.57142857142857,100,4.797714285714286,6.69,34.8,24.46,10.2,2.09,0.9861213902673007,63.35067281471377,0.4183282691474139
Flores,UY-FS,2017-08-07,2017-08-13,2017,32,7,7,100.0,100.0,5,17.03142857142857,20.5,10.842857142857143,5.7,67.65714285714286,55,94.34285714285714,99,7.452857142857143,11.76,51.38,29.419999999999998,10.31,1.88,0.9968563011110165,118.30599423140096,0.33698343836402284
Flores,UY-FS,2017-08-14,2017-08-20,2017,33,7,7,100.0,100.0,3,17.08857142857143,21.0,6.471428571428571,4.3,50.34285714285714,34,89.68571428571428,97,5.572285714285714,9.13,18.18,17.96,16.48,2.99,0.9970369056724512,287.5808130332847,0.423639722514158
Flores,UY-FS,2017-08-21,2017-08-27,2017,34,7,7,100.0,100.0,4,20.68285714285714,24.9,11.617142857142856,1.0,68.94285714285715,42,92.25714285714285,100,5.563142857142857,8.13,131.62,63.279999999999994,12.966,3.06,0.9933240601899753,31.91917904481884,0.5740697228321496
Flores,UY-FS,2017-08-28,2017-09-03,2017,35,7,7,100.0,100.0,3,21.8,28.2,12.482857142857144,3.4,65.14285714285714,50,92.88571428571429,98,6.763428571428571,8.8,25.0,20.44,15.899999999999999,3.05,0.9977846731712325,8.9103032442761,0.5099987558170793
Flores,UY-FS,2017-09-04,2017-09-10,2017,36,7,7,100.0,100.0,5,18.791428571428572,23.5,12.897142857142857,7.7,70.45714285714286,52,95.08571428571429,99,6.101999999999999,8.73,97.12,35.56,11.690000000000001,2.54,0.9988710396081102,109.97703109719654,0.6316290879186568
Flores,UY-FS,2017-09-11,2017-09-17,2017,37,7,7,100.0,100.0,4,17.27714285714286,21.1,8.76,5.2,57.17142857142857,49,94.51428571428572,99,4.707142857142857,10.84,3.36,2.44,16.972,3.19,0.9932929203576076,135.7010225709535,0.4802909908100346
Flores,UY-FS,2017-09-18,2017-09-24,2017,38,7,7,100.0,100.0,2,21.094285714285714,30.9,9.680000000000001,4.8,59.57142857142857,49,95.65714285714286,100,5.102857142857142,7.86,16.72,15.8,21.626,4.39,0.9959774400146308,91.09251050936581,0.5309174338100396
Flores,UY-FS,2017-09-25,2017-10-01,2017,39,7,7,100.0,100.0,7,19.517142857142858,23.8,12.022857142857143,9.0,64.11428571428571,52,94.08571428571429,98,5.997142857142857,8.63,25.54,14.76,15.884,3.29,0.9965297307762675,105.34534930837899,0.5725954717596111
Flores,UY-FS,2017-10-02,2017-10-08,2017,40,7,7,100.0,100.0,3,21.611428571428572,25.5,10.98,7.6,49.857142857142854,31,87.0,93,7.936,10.13,4.0600000000000005,3.0200000000000005,28.958,5.53,0.9978153696190966,335.01571635707984,0.2743175401639958
Flores,UY-FS,2017-10-09,2017-10-15,2017,41,7,7,100.0,100.0,4,18.89428571428571,23.3,9.825714285714286,4.9,55.628571428571426,43,90.2,100,5.538857142857142,8.54,10.66,5.26,21.526,4.79,0.9982182377296478,177.45133198291086,0.3439241497805856
Flores,UY-FS,2017-10-16,2017-10-22,2017,42,7,7,100.0,100.0,6,21.388571428571428,26.7,11.305714285714286,7.3,57.971428571428575,43,93.05714285714285,100,6.76657142857143,9.71,21.900000000000002,17.240000000000002,23.714,5.17,0.9972887187030706,59.27702159344034,0.17853139722419828
Flores,UY-FS,2017-10-23,2017-10-29,2017,43,7,7,100.0,100.0,4,22.425714285714285,26.3,11.885714285714286,3.9,56.08571428571429,43,93.11428571428571,100,4.8022857142857145,9.36,28.08,22.6,26.650000000000002,4.85,0.9954829138535072,77.26174524594256,0.6891213368647168
Flores,UY-FS,2017-10-30,2017-11-05,2017,44,7,7,100.0,100.0,4,22.954285714285714,24.9,12.642857142857142,9.3,44.114285714285714,32,89.71428571428571,100,5.185428571428572,8.3,20.680000000000003,19.78,33.07,5.59,0.99534650142089,179.59766704069028,0.1760928642050748
