coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite,latitud_reportada,longitud_reportada,departamento_open_meteo,distancia_solicitada_reportada_m,punto_valido
URY_FS_G_E525000_N6300000,Flores,UY-FS,-33.43910300000001,-56.73104,525000.0,6300000.0,11200.785383830847,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.399998,-56.699997,Flores,5208.303866427162,True
URY_LA_G_E650000_N6200000,Lavalleja,UY-LA,-34.330445,-55.369446,650000.0,6200000.0,16462.741491395933,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.3,-55.4,Lavalleja,4394.242302483184,True
URY_LA_G_E650000_N6225000,Lavalleja,UY-LA,-34.105071999999986,-55.373783,650000.0,6225000.0,10151.169588187344,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-55.4,Lavalleja,2483.3823540373846,True
URY_LA_G_E675000_N6200000,Lavalleja,UY-LA,-34.326525999999994,-55.097809000000005,675000.0,6200000.0,15146.58895387779,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.3,-55.1,Lavalleja,2949.3131784385573,True
URY_LA_G_E675000_N6225000,Lavalleja,UY-LA,-34.101184999999994,-55.102868,675000.0,6225000.0,31350.318546208666,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-55.1,Lavalleja,295.48597134373193,True
URY_LA_G_E675000_N6250000,Lavalleja,UY-LA,-33.87583600000001,-55.107871,675000.0,6250000.0,20479.47322527888,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-55.1,Lavalleja,2777.145389406257,True
URY_LA_G_E675000_N6275000,Lavalleja,UY-LA,-33.650476999999995,-55.112818,675000.0,6275000.0,13807.22601703995,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.7,-55.1,Lavalleja,5619.95065479759,True
URY_LA_G_E700000_N6225000,Lavalleja,UY-LA,-34.096702,-54.832009,700000.0,6225000.0,9263.617310949438,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-54.799995,Lavalleja,2977.057118585956,True
URY_LA_G_E700000_N6250000,Lavalleja,UY-LA,-33.87138999999999,-54.837725,700000.0,6250000.0,23624.88998833796,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-54.799995,Lavalleja,4717.652729619486,True
URY_LA_G_E700000_N6275000,Lavalleja,UY-LA,-33.64606899999998,-54.843377,700000.0,6275000.0,27873.307439362543,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.6,-54.799995,Lavalleja,6505.596278502374,True
